square	rank	density	runtime_path	upstream_rank	commit	source_path	git_blob_sha1	source_sha256	certificate_sha256	license	attribution
8	343	5184	seeds/gf2/wide/matmul_8x8_rank343_7bd55d1010_perminov_gf2.mfw	343	db560ca5811bc38d5a6d5c0a3ec4315937ceabce	schemes/results/ZT/8x8x8_m343_ZT.json	7bd55d1010443cf3acf51b6244f5ec09220e8edd	f74cbadefd5c6bbbae360fc1d6fef07b1b8b85437a547c697dfa55599e5beacd	3803b7b4eac27827a886292de600a40430647014f7148b51c46c068f0eccfc8b	MIT	Andrew Perminov and cited algorithm authors
9	486	8153	seeds/gf2/wide/matmul_9x9_rank486_ba73e1dfe4_perminov_gf2.mfw	486	db560ca5811bc38d5a6d5c0a3ec4315937ceabce	schemes/results/ZT/9x9x9_m486_ZT.json	ba73e1dfe493be5e308a3a728abeceab26ffb889	6f8ee5d7e89221d2a63c702c0e42444387644c70e08a905bebab172f1033a2b6	0e70df03b47827c346cbe22d8ded0af56ab0362f7e88e2ddf6325a38cc345843	MIT	Andrew Perminov and cited algorithm authors
10	651	12648	seeds/gf2/wide/matmul_10x10_rank651_87b2810a5f_perminov_gf2.mfw	651	db560ca5811bc38d5a6d5c0a3ec4315937ceabce	schemes/results/ZT/10x10x10_m651_ZT.json	87b2810a5f6674771e75df3be410524be668fdf1	ccab896be6581a4272cb945c130ed631c32a1a8e373458423d67f72bfe142c4f	cba8a043f58693218240e5696edb03412a571596fb659c88fbd7ace4631f86ce	MIT	Andrew Perminov and cited algorithm authors
10	686	9432	seeds/gf2/wide/matmul_10x10_rank686_b72e157617_perminov_gf2.mfw	686	db560ca5811bc38d5a6d5c0a3ec4315937ceabce	schemes/results/ZT/10x10x10_m686_ZT.json	b72e15761737314922a0a292c4fc8fca19cba0bb	8b8d70ea51bac98d471278ea228df62a581fef17aacfa6bc6271648d5339cae3	c821b757a747f355d508f35264ffb273c9d4c4ffcbada02c654590f6ce8d3fed	MIT	Andrew Perminov and cited algorithm authors
11	873	20730	seeds/gf2/wide/matmul_11x11_rank873_58606ce43d_perminov_gf2.mfw	873	db560ca5811bc38d5a6d5c0a3ec4315937ceabce	schemes/results/ZT/11x11x11_m873_ZT.json	58606ce43d9135b309e60fb5fb3738690e30e043	215fc6385691ba040bc8837c532818b7d9416b7c2b8b386c5d50ff6e710b5ec6	6b530829e8b9a03c41a8ec5d995f81e4cb7fcb43de927c2fefd6b323f77a2f6b	MIT	Andrew Perminov and cited algorithm authors
11	960	14041	seeds/gf2/wide/matmul_11x11_rank960_406ca1e148_perminov_gf2.mfw	960	db560ca5811bc38d5a6d5c0a3ec4315937ceabce	schemes/results/ZT/11x11x11_m960_ZT.json	406ca1e14814ac6b75978e0399b0043b21b9fa82	721a34b797050f7db5a05d113fb84a00e1eb4bfc366b5c52b2fd7fa200d96a3a	35c4fa67b035df7034e09e40e28804953a54eb6ec2c91132f50d55f061618750	MIT	Andrew Perminov and cited algorithm authors
12	1068	31748	seeds/gf2/wide/matmul_12x12_rank1068_d027d3cd03_perminov_gf2.mfw	1068	db560ca5811bc38d5a6d5c0a3ec4315937ceabce	schemes/results/ZT/12x12x12_m1068_ZT.json	d027d3cd03d0a20e5f80659dd1708b4dd786e258	fb6d39833b061a3a2f11387874ec5437524397c999d0d7b78c1d3657e90b417d	011d1c91affa468d51e3b02cd6b66c4a8ee438e4bb50ccd68793927df7eb78be	MIT	Andrew Perminov and cited algorithm authors
12	1071	30156	seeds/gf2/wide/matmul_12x12_rank1071_eee721abea_perminov_gf2.mfw	1071	db560ca5811bc38d5a6d5c0a3ec4315937ceabce	schemes/results/ZT/12x12x12_m1071_ZT.json	eee721abea4964963fcc21d16dfa05562c790d60	bc5db78504a9f968070f0132f611b4f21c700d9c3cf893a0a07764649be1675a	c92d926f77cf241ba4ca4073c4604c4eae2ba4d09c3cc74f87513237c3e515c0	MIT	Andrew Perminov and cited algorithm authors
13	1426	33156	seeds/gf2/wide/matmul_13x13_rank1426_bea2062def_perminov_gf2.mfw	1426	db560ca5811bc38d5a6d5c0a3ec4315937ceabce	schemes/results/ZT/13x13x13_m1426_ZT.json	bea2062def2fac6a1ba7e73102cea288611079e3	2ec0f93b991e3d2aa6f5eacc966ecac6bd679c085a83d0b2e8b0ebc05a4ad7f6	e9967fa55ee2a40ec9628aed55b375654b8e5743c58492ab47b3aba89d3f43b4	MIT	Andrew Perminov and cited algorithm authors
14	1725	45931	seeds/gf2/wide/matmul_14x14_rank1725_97b4b09bb7_perminov_gf2.mfw	1725	db560ca5811bc38d5a6d5c0a3ec4315937ceabce	schemes/results/ZT/14x14x14_m1725_ZT.json	97b4b09bb7f1e38968a4c06ae7982f5949be1475	46f2f9f9ec12821a4dbe21d8b0f07b0c450fd9a861b9d66abeca09aa0033f003	680f0ff24f948f445b842b5f6698a35c818f3302e91608a5cee6b9ca400bc9e9	MIT	Andrew Perminov and cited algorithm authors
15	2058	64365	seeds/gf2/wide/matmul_15x15_rank2058_45d0dd5110_perminov_gf2.mfw	2058	db560ca5811bc38d5a6d5c0a3ec4315937ceabce	schemes/results/ZT/15x15x15_m2058_ZT.json	45d0dd51109edd7907281dfba5f919eb7de666b0	49397f67d9a5071622b5dca35d8c9171d5bfa72c676306480a75a51434f5a8c6	36a9c1289870cf84acec2208c2815e89edd43cb2f1555139e09bbe046e621633	MIT	Andrew Perminov and cited algorithm authors
16	2401	62208	seeds/gf2/wide/matmul_16x16_rank2401_6797c8fd21_perminov_gf2.mfw	2401	db560ca5811bc38d5a6d5c0a3ec4315937ceabce	schemes/results/ZT/16x16x16_m2401_ZT.json	6797c8fd2179236afa06e4a694becadb008cbfa1	e7dd67b2fb2d9c522dda8f9b37a5f7643c74e947905a8181e6c139fcc9b980c7	05155d9ebfe6868d53a757efd906f5286204e047a976b604e6ea8d97ca40988d	MIT	Andrew Perminov and cited algorithm authors
