# External unit documentation loaded by the Ruby and compiled REPLs.
# symbol<TAB>description<TAB>etymology<TAB>history<TAB>source<TAB>year<TAB>status
m	metre — SI base unit of length, defined via the speed of light c	From Greek metron, “measure”, through French mètre.	The 1983 definition fixed the speed of light at exactly 299,792,458 metres per second.	17th CGPM	1983	exact
kg	kilogram — SI base unit of mass, defined via the Planck constant h	Greek khilioi, “thousand”, plus gramme.	Since 2019 the kilogram is defined by fixing the Planck constant rather than by a metal artefact.	26th CGPM	2019	exact
g	gram — one thousandth of a kilogram	From Late Latin gramma, a small weight, ultimately Greek grammē.	The gram was an original metric mass unit; modern SI treats the kilogram as the base unit.	26th CGPM	2019	exact
s	second — SI base unit of time, defined by the caesium-133 hyperfine transition	From Latin secunda pars minuta, the “second diminished part” of an hour.	The atomic definition was adopted in 1967 and refined in wording without changing its duration.	13th CGPM	1967	exact
A	ampere — SI base unit of electric current	Named for French physicist André-Marie Ampère.	Since 2019 it is defined by fixing the elementary charge.	26th CGPM	2019	exact
K	kelvin — SI base unit of thermodynamic temperature	Named for William Thomson, Lord Kelvin.	Since 2019 it is defined by fixing the Boltzmann constant.	26th CGPM	2019	exact
mol	mole — SI base unit of amount of substance	From German Mol, shortened from Molekül.	Since 2019 one mole contains exactly 6.02214076×10²³ specified entities.	26th CGPM	2019	exact
cd	candela — SI base unit of luminous intensity	Latin candela, “candle”.	The modern photometric definition fixes the luminous efficacy of 540 THz radiation.	16th CGPM	1979	exact
Hz	hertz — one cycle per second	Named for physicist Heinrich Hertz.	The IEC adopted hertz in 1933; the CGPM adopted it for SI in 1960.	IEC	1933	exact
N	newton — SI derived unit of force, kg·m/s²	Named for Isaac Newton.	The name newton was adopted internationally in 1948.	9th CGPM	1948	exact
Pa	pascal — SI derived unit of pressure, N/m²	Named for Blaise Pascal.	The pascal was adopted as the SI pressure name in 1971.	14th CGPM	1971	exact
J	joule — SI derived unit of energy, N·m	Named for James Prescott Joule.	The joule became an international electrical-mechanical energy unit in the late nineteenth century.	BIPM	1889	exact
W	watt — SI derived unit of power, J/s	Named for James Watt.	The watt was adopted by the British Association in 1882 and standardized internationally in 1889.	BIPM	1889	exact
V	volt — SI derived unit of electric potential	Named for Alessandro Volta.	The volt was adopted by the first International Electrical Congress in 1881.	International Electrical Congress	1881	exact
Ω	ohm — SI derived unit of electrical resistance	Named for Georg Ohm.	The ohm was adopted internationally in 1881 and later incorporated into SI.	International Electrical Congress	1881	exact
PB	petabyte — 10¹⁵ bytes	SI prefix peta, from Greek pente, “five”, marking the fifth power of one thousand.	The SI prefix peta was adopted in 1975; decimal storage usage was standardized separately from IEC pebibytes.	15th CGPM	1975	exact
eV	electronvolt — energy gained by one elementary charge through one volt	Coined from electron plus volt.	Widely used in atomic and particle physics; it became exact after the 2019 SI fixed the elementary charge.	SI Brochure	2019	exact
smoot	informal length equal to 1.7018 metres	Named for Oliver R. Smoot, used bodily as the measuring rod.	MIT students measured the Harvard Bridge in 1958 as 364.4 smoots plus or minus one ear.	MIT Lambda Chi Alpha	1958	measured
banana	banana equivalent dose — approximately 0.1 microsievert	Named for the familiar fruit used to communicate potassium-40 exposure.	The informal comparison was popularized in radiation-safety communication in the 1990s.	Lawrence Livermore	1995	measured
hartree	atomic unit of energy, approximately 27.211 electronvolts	Named for Douglas Hartree.	Introduced with atomic-unit methods for quantum calculations.	CODATA	1928	measured
bohr_radius	atomic unit of length for the hydrogen ground state	Named for Niels Bohr.	Derived from the 1913 Bohr model and maintained as a CODATA atomic constant.	CODATA	1913	measured
electron_mass	rest mass of an electron	Named for the electron, from Greek elektron, “amber”.	A measured particle constant periodically refined by CODATA.	CODATA	2018	measured
proton_mass	rest mass of a proton	Proton comes from Greek prōtos, “first”.	A measured particle constant periodically refined by CODATA.	CODATA	2018	measured
neutron_mass	rest mass of a neutron	From Latin neuter, “neither”, referring to its lack of electric charge.	A measured particle constant periodically refined by CODATA.	CODATA	2018	measured
°C	degree Celsius — an absolute temperature point with the ice point near zero	Named for Swedish astronomer Anders Celsius.	Celsius proposed a centigrade scale in 1742; its modern relation to kelvin is exact.	BIPM	1948	exact
°F	degree Fahrenheit — an absolute temperature point	Named for instrument maker Daniel Gabriel Fahrenheit.	Fahrenheit published his mercury-thermometer scale in 1724; its modern relation to kelvin is exact.	BIPM	1724	exact
ΔK	kelvin temperature difference	Named for William Thomson, Lord Kelvin; delta marks a difference rather than a point.	A kelvin interval has the same exact size as a Celsius interval.	BIPM	1967	exact
Δ°C	degree Celsius temperature difference	Named for Anders Celsius; delta marks a difference rather than a point.	Celsius intervals were separated from absolute Celsius readings here to prevent affine arithmetic mistakes.	Tungsten	2026	exact
