20 20	0 1
20 308 20	0 2
20 D	0 1
20 308 D	0 2
20 A	0 1
20 308 A	0 2
20 1	0 1
20 308 1	0 2
20 200C	0
20 308 200C	0
20 1F1E6	0 1
20 308 1F1E6	0 2
20 600	0 1
20 308 600	0 2
20 A03	0
20 308 A03	0
20 1100	0 1
20 308 1100	0 2
20 1160	0 1
20 308 1160	0 2
20 11A8	0 1
20 308 11A8	0 2
20 AC00	0 1
20 308 AC00	0 2
20 AC01	0 1
20 308 AC01	0 2
20 903	0
20 308 903	0
20 904	0 1
20 308 904	0 2
20 D4E	0 1
20 308 D4E	0 2
20 915	0 1
20 308 915	0 2
20 231A	0 1
20 308 231A	0 2
20 300	0
20 308 300	0
20 900	0
20 308 900	0
20 94D	0
20 308 94D	0
20 200D	0
20 308 200D	0
20 378	0 1
20 308 378	0 2
D 20	0 1
D 308 20	0 1 2
D D	0 1
D 308 D	0 1 2
D A	0
D 308 A	0 1 2
D 1	0 1
D 308 1	0 1 2
D 200C	0 1
D 308 200C	0 1
D 1F1E6	0 1
D 308 1F1E6	0 1 2
D 600	0 1
D 308 600	0 1 2
D A03	0 1
D 308 A03	0 1
D 1100	0 1
D 308 1100	0 1 2
D 1160	0 1
D 308 1160	0 1 2
D 11A8	0 1
D 308 11A8	0 1 2
D AC00	0 1
D 308 AC00	0 1 2
D AC01	0 1
D 308 AC01	0 1 2
D 903	0 1
D 308 903	0 1
D 904	0 1
D 308 904	0 1 2
D D4E	0 1
D 308 D4E	0 1 2
D 915	0 1
D 308 915	0 1 2
D 231A	0 1
D 308 231A	0 1 2
D 300	0 1
D 308 300	0 1
D 900	0 1
D 308 900	0 1
D 94D	0 1
D 308 94D	0 1
D 200D	0 1
D 308 200D	0 1
D 378	0 1
D 308 378	0 1 2
A 20	0 1
A 308 20	0 1 2
A D	0 1
A 308 D	0 1 2
A A	0 1
A 308 A	0 1 2
A 1	0 1
A 308 1	0 1 2
A 200C	0 1
A 308 200C	0 1
A 1F1E6	0 1
A 308 1F1E6	0 1 2
A 600	0 1
A 308 600	0 1 2
A A03	0 1
A 308 A03	0 1
A 1100	0 1
A 308 1100	0 1 2
A 1160	0 1
A 308 1160	0 1 2
A 11A8	0 1
A 308 11A8	0 1 2
A AC00	0 1
A 308 AC00	0 1 2
A AC01	0 1
A 308 AC01	0 1 2
A 903	0 1
A 308 903	0 1
A 904	0 1
A 308 904	0 1 2
A D4E	0 1
A 308 D4E	0 1 2
A 915	0 1
A 308 915	0 1 2
A 231A	0 1
A 308 231A	0 1 2
A 300	0 1
A 308 300	0 1
A 900	0 1
A 308 900	0 1
A 94D	0 1
A 308 94D	0 1
A 200D	0 1
