C5	C5	41 30A	C5	41 30A
212B	C5	41 30A	C5	41 30A
41 30A	C5	41 30A	C5	41 30A
65 301	E9	65 301	E9	65 301
E9	E9	65 301	E9	65 301
71 307 323	71 323 307	71 323 307	71 323 307	71 323 307
71 323 307	71 323 307	71 323 307	71 323 307	71 323 307
FB01	FB01	FB01	66 69	66 69
2460	2460	2460	31	31
3392	3392	3392	4D 48 7A	4D 48 7A
AC00	AC00	1100 1161	AC00	1100 1161
D4DB	D4DB	1111 1171 11B6	D4DB	1111 1171 11B6
1100 1161 11A8	AC01	1100 1161 11A8	AC01	1100 1161 11A8
958	915 93C	915 93C	915 93C	915 93C
915 93C	915 93C	915 93C	915 93C	915 93C
F77	F77	F77	FB2 F71 F80	FB2 F71 F80
1E0B 323	1E0D 307	64 323 307	1E0D 307	64 323 307
73 323 307	1E69	73 323 307	1E69	73 323 307
1E69	1E69	73 323 307	1E69	73 323 307
1C4	1C4	1C4	44 17D	44 5A 30C
FDFA	FDFA	FDFA	635 644 649 20 627 644 644 647 20 639 644 64A 647 20 648 633 644 645	635 644 649 20 627 644 644 647 20 639 644 64A 647 20 648 633 644 645
BD	BD	BD	31 2044 32	31 2044 32
2075	2075	2075	35	35
1D160	1D158 1D165 1D16E	1D158 1D165 1D16E	1D158 1D165 1D16E	1D158 1D165 1D16E
1D1C0	1D1BA 1D165 1D16F	1D1BA 1D165 1D16F	1D1BA 1D165 1D16F	1D1BA 1D165 1D16F
78 344 79	1E8D 301 79	78 308 301 79	1E8D 301 79	78 308 301 79
344	308 301	308 301	308 301	308 301
2126 212A 212B	3A9 4B C5	3A9 4B 41 30A	3A9 4B C5	3A9 4B 41 30A
F7D FC49 1F95	F7D FC49 1F95	F7D FC49 3B7 314 301 345	F7D 645 649 1F95	F7D 645 649 3B7 314 301 345
C4AF	C4AF	110A 1170 11BA	C4AF	110A 1170 11BA
331F	331F	331F	30B5 30A4 30AF 30EB	30B5 30A4 30AF 30EB
3067 1D7CF 1DC2 1ED0 FAAB	3067 1D7CF 1DC2 1ED0 78CC	3066 3099 1D7CF 1DC2 4F 302 301 78CC	3067 31 1DC2 1ED0 78CC	3066 3099 31 1DC2 4F 302 301 78CC
FE17 F995 1E949 FB4C	FE17 79CA 1E949 5D1 5BF	FE17 79CA 1E949 5D1 5BF	3016 79CA 1E949 5D1 5BF	3016 79CA 1E949 5D1 5BF
FE9F 30B4 11B5 2F9ED A67B	FE9F 30B4 11B5 28BFA A67B	FE9F 30B3 3099 11B5 28BFA A67B	62C 30B4 11B5 28BFA A67B	62C 30B3 3099 11B5 28BFA A67B
11E9 F912 12E7 44F FC68 1FAA	11E9 88F8 12E7 44F FC68 1FAA	11E9 88F8 12E7 44F FC68 3A9 313 300 345	11E9 88F8 12E7 44F 626 649 1FAA	11E9 88F8 12E7 44F 64A 654 649 3A9 313 300 345
1F77 AFAD	3AF AFAD	3B9 301 1101 116D 11B8	3AF AFAD	3B9 301 1101 116D 11B8
369 1183A FE3D 89C B4C5 2F98A 2682	1183A 369 FE3D 89C B4C5 2339C 2682	1183A 369 FE3D 89C 1103 1172 11AC 2339C 2682	1183A 369 300A 89C B4C5 2339C 2682	1183A 369 300A 89C 1103 1172 11AC 2339C 2682
D36E 1E016 2F899	D36E 1E016 5F62	1111 1164 11B5 1E016 5F62	D36E 1E016 5F62	1111 1164 11B5 1E016 5F62
2080 343 338D 2F83D B89A	2080 313 338D 5438 B89A	2080 313 338D 5438 1105 116B 11AD	30 313 3BC 67 5438 B89A	30 313 3BC 67 5438 1105 116B 11AD
F921 1171 30C5 CBC 1D719 B07D	5D50 1171 30C5 CBC 1D719 B07D	5D50 1171 30C4 CBC 3099 1D719 1101 1175 11A8	5D50 1171 30C5 CBC 3C6 B07D	5D50 1171 30C4 CBC 3099 3C6 1101 1175 11A8
2113 1D516 44F 1D43A	2113 1D516 44F 1D43A	2113 1D516 44F 1D43A	6C 53 44F 47	6C 53 44F 47
2B0 59A 1E005	2B0 59A 1E005	2B0 59A 1E005	68 59A 1E005	68 59A 1E005
336 FA66 2383 2B8 1F12C 1D703	336 8FB6 2383 2B8 1F12C 1D703	336 8FB6 2383 2B8 1F12C 1D703	336 8FB6 2383 79 52 3B8	336 8FB6 2383 79 52 3B8
1CCED 11366 F9CC	1CCED 11366 7409	1CCED 11366 7409	58 11366 7409	58 11366 7409
1E049	1E049	1E049	44E	44E
2DFB 309F 17DD 1D69D	2DFB 309F 17DD 1D69D	2DFB 309F 17DD 1D69D	2DFB 3088 308A 17DD 74	2DFB 3088 308A 17DD 74
1EEC FA19 D63D 4BC	1EEC 795E D63D 4BC	55 31B 309 795E 1112 1169 11AC 4BC	1EEC 795E D63D 4BC	55 31B 309 795E 1112 1169 11AC 4BC
210D 2FBD 3217 198D 1D71D 1AAD 1D46D	210D 2FBD 3217 198D 1D71D 1AAD 1D46D	210D 2FBD 3217 198D 1D71D 1AAD 1D46D	48 9ADF 28 CC28 29 198D 392 1AAD 46	48 9ADF 28 110E 1161 29 198D 392 1AAD 46
1D1BF	1D1B9 1D165 1D16F	1D1B9 1D165 1D16F	1D1B9 1D165 1D16F	1D1B9 1D165 1D16F
1D5A9 F945 30FE	1D5A9 807E 30FE	1D5A9 807E 30FD 3099	4A 807E 30FE	4A 807E 30FD 3099
2025 1EFD 1079D 10A38 FB94 3180	2025 1EFD 1079D 10A38 FB94 3180	2025 1EFD 1079D 10A38 FB94 3180	2E 2E 1EFD A78E 10A38 6AF 1147	2E 2E 1EFD A78E 10A38 6AF 1147
1D4D2	1D4D2	1D4D2	43	43
A92D 2F97F 1D6EC	A92D 8070 1D6EC	A92D 8070 1D6EC	A92D 8070 39B	A92D 8070 39B
1DFC	1DFC	1DFC	1DFC	1DFC
111CA 32A 483 FC7C FC0A 1D71A FA51	111CA 32A 483 FC7C FC0A 1D71A 795D	111CA 32A 483 FC7C FC0A 1D71A 795D	111CA 32A 483 641 649 628 64A 3C1 795D	111CA 32A 483 641 649 628 64A 3C1 795D
1CCF3 FCB9	1CCF3 FCB9	1CCF3 FCB9	33 638 645	33 638 645
2DE9 5C7 FF05 B251 2DF2	5C7 2DE9 FF05 B251 2DF2	5C7 2DE9 FF05 1102 1170 11BC 2DF2	5C7 2DE9 25 B251 2DF2	5C7 2DE9 25 1102 1170 11BC 2DF2
FDAD 32AE FB04 1133B F80 FA7A	FDAD 32AE FB04 1133B F80 5599	FDAD 32AE FB04 1133B F80 5599	644 645 64A 8CC7 66 66 6C 1133B F80 5599	644 645 64A 8CC7 66 66 6C 1133B F80 5599
FC6 1145E	FC6 1145E	FC6 1145E	FC6 1145E	FC6 1145E
11D97 1F0 1D65B 1EC 1E2EC C3C	11D97 1F0 1D65B 1EC C3C 1E2EC	11D97 6A 30C 1D65B 4F C3C 328 304 1E2EC	11D97 1F0 66 1EC C3C 1E2EC	11D97 6A 30C 66 4F C3C 328 304 1E2EC
10E 8DD FE3A	10E 8DD FE3A	44 30C 8DD FE3A	10E 8DD 3015	44 30C 8DD 3015
3359 8F6 2176 2FA09 1EE16	3359 8F6 2176 29B30 1EE16	3359 8F6 2176 29B30 1EE16	31 70B9 8F6 76 69 69 29B30 62B	31 70B9 8F6 76 69 69 29B30 62B
1FFD 1D474 D63E FC21 FC7E	B4 1D474 D63E FC21 FC7E	B4 1D474 1112 1169 11AD FC21 FC7E	20 301 4D D63E 635 645 642 649	20 301 4D 1112 1169 11AD 635 645 642 649
FC3E 2F8A1 1D623 FCA5	FC3E 393A 1D623 FCA5	FC3E 393A 1D623 FCA5	643 64A 393A 62 62A 647	643 64A 393A 62 62A 647
483	483	483	483	483
1714	1714	1714	1714	1714
20E5 2F90A 2FBC 1FE3	20E5 3D33 2FBC 3B0	20E5 3D33 2FBC 3C5 308 301	20E5 3D33 9AD8 3B0	20E5 3D33 9AD8 3C5 308 301
C3	C3	41 303	C3	41 303
FC6 D6C2 2F87F 32FD 1E06	FC6 D6C2 5D6B 32FD 1E06	FC6 1112 116D 11C1 5D6B 32FD 42 331	FC6 D6C2 5D6B 30F1 1E06	FC6 1112 116D 11C1 5D6B 30F1 42 331
F82	F82	F82	F82	F82
33CC B3C 654 3186 3306	33CC B3C 654 3186 3306	33CC B3C 654 3186 3306	69 6E B3C 654 1159 30A6 30A9 30F3	69 6E B3C 654 1159 30A6 30A9 30F3
2F9DD 2F962 1D68E 1D51C	208DE 7BC6 1D68E 1D51C	208DE 7BC6 1D68E 1D51C	208DE 7BC6 65 59	208DE 7BC6 65 59
1D649 2089 FAAA 89A	1D649 2089 7740 89A	1D649 2089 7740 89A	4E 39 7740 89A	4E 39 7740 89A
3138	3138	3138	1104	1104
F7B 1D5F3 20D0 1EE29 DDA 9FE	F7B 1D5F3 20D0 1EE29 DDA 9FE	F7B 1D5F3 20D0 1EE29 DD9 DCA 9FE	F7B 66 20D0 64A DDA 9FE	F7B 66 20D0 64A DD9 DCA 9FE
32DE 8ED D065 1E20 1F216	32DE 8ED D065 1E20 1F216	32DE 8ED 110F 1172 11BC 47 304 1F216	30BD 8ED D065 1E20 89E3	30BD 8ED 110F 1172 11BC 47 304 89E3
1109A 8F6 1EE67	1109A 8F6 1EE67	11099 110BA 8F6 1EE67	1109A 8F6 62D	11099 110BA 8F6 62D
A8E3 327A A674	A8E3 327A A674	A8E3 327A A674	A8E3 D30C A674	A8E3 1111 1161 A674
C490 1D780 2F12 A678 653	C490 1D780 2F12 A678 653	110A 116F 11B7 1D780 2F12 A678 653	C490 3C1 529B A678 653	110A 116F 11B7 3C1 529B A678 653
1E2ED FCA9 FE2B 81E 1EE4E 1D6DD 3278	1E2ED FCA9 FE2B 81E 1EE4E 1D6DD 3278	1E2ED FCA9 FE2B 81E 1EE4E 1D6DD 3278	1E2ED 62D 62C FE2B 81E 633 3B8 CE74	1E2ED 62D 62C FE2B 81E 633 3B8 110F 1161
1E3F 1E2E 302C 1D58B 8D5 5BF	1E3F 1E2E 302C 1D58B 5BF 8D5	6D 301 49 308 301 302C 1D58B 5BF 8D5	1E3F 1E2E 302C 66 5BF 8D5	6D 301 49 308 301 302C 66 5BF 8D5
3153 107B8 320C 330E FA50 2DE3	3153 107B8 320C 330E 7956 2DE3	3153 107B8 320C 330E 7956 2DE3	1165 1C2 28 1111 29 30AC 30ED 30F3 7956 2DE3	1165 1C2 28 1111 29 30AB 3099 30ED 30F3 7956 2DE3
FE2D	FE2D	FE2D	FE2D	FE2D
6E3 2F96 8FA 1D635	6E3 2F96 8FA 1D635	6E3 2F96 8FA 1D635	6E3 8C46 8FA 74	6E3 8C46 8FA 74
E5 1D601 314F FA98 2F9AD	E5 1D601 314F 6EDB 26F2C	61 30A 1D601 314F 6EDB 26F2C	E5 74 1161 6EDB 26F2C	61 30A 74 1161 6EDB 26F2C
7F2 1D5EA 1D181 FF3D	7F2 1D5EA 1D181 FF3D	7F2 1D5EA 1D181 FF3D	7F2 57 1D181 5D	7F2 57 1D181 5D
2F40 FAB8 FC5A 1D4EA FCB5 FA9A 1DD5	2F40 8996 FC5A 1D4EA FCB5 6F22 1DD5	2F40 8996 FC5A 1D4EA FCB5 6F22 1DD5	652F 8996 64A 64A 61 636 62D 6F22 1DD5	652F 8996 64A 64A 61 636 62D 6F22 1DD5
304 1E28	304 1E28	304 48 327	304 1E28	304 48 327
600 1D511	600 1D511	600 1D511	600 4E	600 4E
8E6 209D 1D5AD 321B 1CD0 D01D B82F	8E6 209D 1D5AD 321B 1CD0 D01D B82F	8E6 209D 1D5AD 321B 1CD0 110F 1170 11AC 1105 1167 11B2	8E6 209D 4E 28 D558 29 1CD0 D01D B82F	8E6 209D 4E 28 1112 1161 29 1CD0 110F 1170 11AC 1105 1167 11B2
9CC 219	9CC 219	9C7 9D7 73 326	9CC 219	9C7 9D7 73 326
2F894 1F144 6DA FF3B 64D 1AC1 1E2F	5F22 1F144 6DA FF3B 64D 1AC1 1E2F	5F22 1F144 6DA FF3B 64D 1AC1 69 308 301	5F22 55 6DA 5B 64D 1AC1 1E2F	5F22 55 6DA 5B 64D 1AC1 69 308 301
1BF3 1D18A 1D767	1BF3 1D18A 1D767	1BF3 1D18A 1D767	1BF3 1D18A 398	1BF3 1D18A 398
1B3E 24CA	1B3E 24CA	1B3E 24CA	1B3E 55	1B3E 55
CBF8 FE3B 346	CBF8 FE3B 346	110D 1174 11AF FE3B 346	CBF8 3010 346	110D 1174 11AF 3010 346
325B	325B	325B	33 31	33 31
154C 1EE30 FE58 1D76F	154C 1EE30 FE58 1D76F	154C 1EE30 FE58 1D76F	154C 641 2014 2207	154C 641 2014 2207
D4CE 1715	D4CE 1715	1111 1171 11A9 1715	D4CE 1715	1111 1171 11A9 1715
1E032 4DC FFA3 1E8D3 10B	1E032 4DC FFA3 1E8D3 10B	1E032 416 308 FFA3 1E8D3 63 307	432 4DC 11AA 1E8D3 10B	432 416 308 11AA 1E8D3 63 307
EB9 10F4F 746 1D59F 2F9B4 CA86 F910	EB9 10F4F 746 1D59F 865C CA86 863F	EB9 10F4F 746 1D59F 865C 110D 1167 11A9 863F	EB9 10F4F 746 7A 865C CA86 863F	EB9 10F4F 746 7A 865C 110D 1167 11A9 863F
1EE64 1F245 AE34	1EE64 1F245 AE34	1EE64 1F245 1100 1175 11AB	647 3014 6253 3015 AE34	647 3014 6253 3015 1100 1175 11AB
2F8CB D36E 22EA 59B	65E3 D36E 22EA 59B	65E3 1111 1164 11B5 22B2 338 59B	65E3 D36E 22EA 59B	65E3 1111 1164 11B5 22B2 338 59B
20EF 1F27	20EF 1F27	20EF 3B7 314 342	20EF 1F27	20EF 3B7 314 342
2F842 1D7D4 1D42A D1AD 1E2D F92B FFE2	5510 1D7D4 1D42A D1AD 1E2D 72FC FFE2	5510 1D7D4 1D42A 1110 1169 11B4 69 330 72FC FFE2	5510 36 71 D1AD 1E2D 72FC AC	5510 36 71 1110 1169 11B4 69 330 72FC AC
1D7AE 1E04D 7FD	1D7AE 1E04D 7FD	1D7AE 1E04D 7FD	3B5 458 7FD	3B5 458 7FD
2CF1 1D42D 1D7DB CFD6 1D5EA 1D7D5	2CF1 1D42D 1D7DB CFD6 1D5EA 1D7D5	2CF1 1D42D 1D7DB 110F 116D 11B9 1D5EA 1D7D5	2CF1 74 33 CFD6 57 37	2CF1 74 33 110F 116D 11B9 57 37
1F107 8DC	1F107 8DC	1F107 8DC	36 2C 8DC	36 2C 8DC
8DC 1CCD8 612 FDC3 2F9C9	8DC 1CCD8 612 FDC3 88FA	8DC 1CCD8 612 FDC3 88FA	8DC 43 612 643 645 645 88FA	8DC 43 612 643 645 645 88FA
FFC6 2145 F9C1 1E948	FFC6 2145 7642 1E948	FFC6 2145 7642 1E948	1165 44 7642 1E948	1165 44 7642 1E948
F9CB 1BE6 1D30 2F9D5	6E9C 1BE6 1D30 8CC1	6E9C 1BE6 1D30 8CC1	6E9C 1BE6 44 8CC1	6E9C 1BE6 44 8CC1
1AC8 3327 81F 6D7 614 1D53B 20E9	1AC8 3327 81F 6D7 614 1D53B 20E9	1AC8 3327 81F 6D7 614 1D53B 20E9	1AC8 30C8 30F3 81F 6D7 614 44 20E9	1AC8 30C8 30F3 81F 6D7 614 44 20E9
2F807 FC82 1D681 20ED A82C 20D0	5002 FC82 1D681 A82C 20ED 20D0	5002 FC82 1D681 A82C 20ED 20D0	5002 643 645 52 A82C 20ED 20D0	5002 643 645 52 A82C 20ED 20D0
FF16 1EE18 FCDD 2FAD FE63 65D	FF16 1EE18 FCDD 2FAD FE63 65D	FF16 1EE18 FCDD 2FAD FE63 65D	36 630 64A 645 9751 2D 65D	36 630 64A 645 9751 2D 65D
2174 11938 3323	2174 11938 3323	2174 11935 11930 3323	76 11938 30BB 30F3 30C8	76 11935 11930 30BB 30F3 30C8
2F9A	2F9A	2F9A	8D64	8D64
1D495 FFA8 4C1 FB7D 2F30	1D495 FFA8 4C1 FB7D 2F30	1D495 FFA8 416 306 FB7D 2F30	74 1104 4C1 686 5DF1	74 1104 416 306 686 5DF1
1E024 1E04E F93A 2F939 10EAC	1E024 1E04E 9DFA 2219F 10EAC	1E024 1E04E 9DFA 2219F 10EAC	1E024 4E9 9DFA 2219F 10EAC	1E024 4E9 9DFA 2219F 10EAC
FA8C	6234	6234	6234	6234
1DC6 1EF2 1E027	1DC6 1EF2 1E027	1DC6 59 300 1E027	1DC6 1EF2 1E027	1DC6 59 300 1E027
32D FE7A 8CC	32D FE7A 8CC	32D FE7A 8CC	32D 20 650 8CC	32D 20 650 8CC
E39 D6C2 1EE0B 24AF	E39 D6C2 1EE0B 24AF	E39 1112 116D 11C1 1EE0B 24AF	E39 D6C2 644 28 74 29	E39 1112 116D 11C1 644 28 74 29
24DB FB32 2DFD 3056	24DB 5D2 5BC 2DFD 3056	24DB 5D2 5BC 2DFD 3055 3099	6C 5D2 5BC 2DFD 3056	6C 5D2 5BC 2DFD 3055 3099
1E8D6 FEAC F9BF 1B44 3CE FAD6 8EC	1E8D6 FEAC 6A02 1B44 3CE 25CD0 8EC	1E8D6 FEAC 6A02 1B44 3C9 301 25CD0 8EC	1E8D6 630 6A02 1B44 3CE 25CD0 8EC	1E8D6 630 6A02 1B44 3C9 301 25CD0 8EC
302C	302C	302C	302C	302C
F39	F39	F39	F39	F39
